Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-01-01,ADANIENT,EQ,479.55,477.0,493.25,477.0,489.0,491.15,488.66,5035248,246050602540000.0,46645,601796,0.1195
2021-01-04,ADANIENT,EQ,491.15,492.0,502.6,486.65,493.4,494.5,495.14,4936582,244430159144999.97,47480,488017,0.0989
2021-01-05,ADANIENT,EQ,494.5,492.0,501.4,489.6,495.5,494.4,496.08,3654033,181270348965000.0,35038,443025,0.12119999999999999
2021-01-06,ADANIENT,EQ,494.4,496.0,500.65,484.25,490.0,490.9,493.83,3295461,162739816945000.0,31038,441818,0.1341
2021-01-07,ADANIENT,EQ,490.9,493.9,523.95,493.8,515.4,518.1,513.58,9879731,507404992795000.0,86263,1322459,0.13390000000000002
2021-01-08,ADANIENT,EQ,518.1,523.0,526.6,514.1,519.0,518.0,519.81,3702267,192448878320000.0,38483,639016,0.17260000000000003
2021-01-11,ADANIENT,EQ,518.0,520.6,524.6,510.5,517.05,519.15,517.28,4148831,214609271580000.0,32200,394848,0.09519999999999999
2021-01-12,ADANIENT,EQ,519.15,519.0,536.6,517.1,528.45,525.4,529.05,4878024,258071676835000.0,49859,524943,0.1076
2021-01-13,ADANIENT,EQ,525.4,529.1,540.2,521.3,533.0,536.05,532.73,4948731,263632985580000.03,53214,356409,0.07200000000000001
2021-01-14,ADANIENT,EQ,536.05,534.95,541.0,528.4,532.0,532.1,535.12,3161306,169168053800000.0,36217,393110,0.1244
2021-01-15,ADANIENT,EQ,532.1,534.7,537.5,518.8,525.45,527.3,528.77,3376852,178557855785000.0,40288,530463,0.15710000000000002
2021-01-18,ADANIENT,EQ,527.3,528.0,529.1,502.05,504.95,507.85,515.17,5204588,268123184215000.0,59387,759027,0.1458
2021-01-19,ADANIENT,EQ,507.85,512.3,532.0,512.3,529.9,530.1,525.05,4181185,219533754819999.97,50659,422742,0.1011
2021-01-20,ADANIENT,EQ,530.1,532.15,552.15,531.0,545.05,546.75,540.74,6681731,361306885775000.0,85212,858284,0.1285
2021-01-21,ADANIENT,EQ,546.75,551.4,552.95,531.55,537.9,536.9,544.69,4208383,229227721644999.97,42036,630128,0.1497
2021-01-22,ADANIENT,EQ,536.9,534.05,546.75,521.6,525.05,526.8,534.48,4179558,223387875080000.03,45471,498556,0.1193
2021-01-25,ADANIENT,EQ,526.8,530.25,534.4,509.0,513.1,513.9,521.95,3728411,194604092860000.0,38888,349196,0.09369999999999999
2021-01-27,ADANIENT,EQ,513.9,513.1,521.55,507.05,509.9,512.8,514.84,2792007,143742330535000.0,26971,328464,0.1176
2021-01-28,ADANIENT,EQ,512.8,507.3,519.5,501.35,511.8,511.85,511.77,4197516,214814555110000.0,45012,304429,0.0725
2021-01-29,ADANIENT,EQ,511.85,515.2,525.2,502.5,503.45,506.65,516.23,3822560,197332048705000.0,51287,567084,0.1484
2021-02-01,ADANIENT,EQ,506.65,510.5,539.5,496.9,539.5,537.2,520.04,4004036,208225599595000.0,47536,579223,0.14470000000000002
2021-02-02,ADANIENT,EQ,537.2,542.05,566.9,540.8,563.4,564.2,554.82,5144708,285439417115000.0,59813,784251,0.1524
2021-02-03,ADANIENT,EQ,564.2,568.0,576.6,558.35,563.9,566.6,568.07,6087209,345794952365000.0,72204,838057,0.1377
2021-02-04,ADANIENT,EQ,566.6,561.95,611.7,556.0,590.0,589.7,593.78,11184167,664092405595000.0,131091,950124,0.085
2021-02-05,ADANIENT,EQ,589.7,595.0,607.85,588.6,599.0,595.35,597.53,4754950,284124597595000.0,61829,549258,0.1155
2021-02-08,ADANIENT,EQ,595.35,605.4,638.0,603.55,629.8,628.3,626.7,7085276,444035661400000.0,98888,719083,0.1015
2021-02-09,ADANIENT,EQ,628.3,631.45,641.9,621.0,633.05,629.85,631.69,4510798,284941033365000.0,58734,537600,0.1192
2021-02-10,ADANIENT,EQ,629.85,633.05,654.9,622.1,654.0,650.7,641.02,5991927,384093988620000.0,71564,436173,0.0728
2021-02-11,ADANIENT,EQ,650.7,654.0,661.0,645.35,657.0,658.6,652.55,3688016,240663065080000.03,58679,625980,0.1697
2021-02-12,ADANIENT,EQ,658.6,657.0,724.45,655.2,711.25,718.95,697.58,16810897,1172701050605000.0,213711,1103612,0.06559999999999999
2021-02-15,ADANIENT,EQ,718.95,725.0,787.95,707.65,754.1,763.45,755.68,21579566,1630735415740000.0,309592,1172107,0.0543
2021-02-16,ADANIENT,EQ,763.45,760.0,802.95,756.25,783.0,780.2,785.36,19426061,1525637618300000.0,265192,1512712,0.0779
2021-02-17,ADANIENT,EQ,780.2,787.15,802.0,782.25,785.0,785.45,791.11,8908279,704742971215000.0,127468,632464,0.071
2021-02-18,ADANIENT,EQ,785.45,787.25,824.5,786.0,813.0,808.2,805.77,9694238,781131824675000.0,118120,627733,0.06480000000000001
2021-02-19,ADANIENT,EQ,808.2,813.0,831.0,729.5,785.5,781.9,787.61,20210882,1591830998220000.0,264125,1147154,0.056799999999999996
2021-02-22,ADANIENT,EQ,781.9,786.0,813.0,780.55,806.0,805.9,796.64,10890564,867590887390000.0,141428,617951,0.0567
2021-02-23,ADANIENT,EQ,805.9,814.8,827.3,789.0,797.25,799.65,807.7,9753081,787759287150000.0,147152,795752,0.0816
2021-02-24,ADANIENT,EQ,799.65,806.0,812.05,795.45,805.95,805.2,803.79,4626257,371855485290000.0,51155,621877,0.1344
2021-02-25,ADANIENT,EQ,805.2,814.0,862.4,809.0,845.8,843.5,837.0,12118095,1014278678804999.9,149215,1189916,0.09820000000000001
2021-02-26,ADANIENT,EQ,843.5,833.9,861.0,819.85,833.85,833.65,840.2,11355426,954078795204999.9,145986,1083310,0.0954
2021-03-01,ADANIENT,EQ,833.65,840.75,860.95,836.45,850.0,851.5,849.28,5996840,509299916639999.94,77419,798167,0.1331
2021-03-02,ADANIENT,EQ,851.5,857.4,876.5,852.25,869.7,872.55,862.74,5116413,441412393155000.0,64705,749826,0.1466
2021-03-03,ADANIENT,EQ,872.55,880.45,944.9,872.85,916.0,915.35,910.94,11670544,1063111257040000.0,162581,1013517,0.0868
2021-03-04,ADANIENT,EQ,915.35,910.0,938.7,905.4,917.0,918.4,924.59,8141787,752781650130000.0,111078,986940,0.12119999999999999
2021-03-05,ADANIENT,EQ,918.4,918.0,934.0,888.3,911.2,909.9,912.32,7109101,648579993870000.0,103409,656464,0.09230000000000001
2021-03-08,ADANIENT,EQ,909.9,918.1,926.4,905.1,908.9,910.2,914.76,3904469,357164808685000.0,63631,386713,0.099
2021-03-09,ADANIENT,EQ,910.2,918.0,928.4,893.6,900.9,905.2,911.92,5561849,507197620235000.06,79060,881620,0.1585
2021-03-10,ADANIENT,EQ,905.2,911.0,914.1,888.7,895.05,898.15,901.15,5465016,492479082414999.94,72031,704295,0.12890000000000001
2021-03-12,ADANIENT,EQ,898.15,905.0,923.8,889.3,892.0,894.1,908.2,6049852,549445391410000.06,83542,1093106,0.1807
2021-03-15,ADANIENT,EQ,894.1,898.75,904.0,874.5,894.25,896.2,892.85,5235064,467414595535000.06,72245,432990,0.0827
2021-03-16,ADANIENT,EQ,896.2,900.7,904.4,888.05,898.0,897.8,896.66,2555026,229099075594999.97,38728,322814,0.12630000000000002
2021-03-17,ADANIENT,EQ,897.8,898.0,905.4,865.0,866.25,873.9,885.28,3886557,344071024375000.0,55924,612406,0.1576
2021-03-18,ADANIENT,EQ,873.9,876.0,891.0,857.75,874.8,871.05,877.32,4465851,391798668650000.0,56225,572045,0.12810000000000002
2021-03-19,ADANIENT,EQ,871.05,866.0,895.4,840.2,885.5,889.65,870.63,4794995,417466001365000.0,63473,645991,0.13470000000000001
2021-03-22,ADANIENT,EQ,889.65,892.9,1003.0,883.45,992.5,991.05,965.79,22596465,2182339036820000.0,314562,1548950,0.06849999999999999
2021-03-23,ADANIENT,EQ,991.05,999.0,1086.7,991.05,1060.0,1058.4,1057.72,31098225,3289320502180000.0,508458,2122727,0.0683
2021-03-24,ADANIENT,EQ,1058.4,1063.0,1093.0,1018.4,1020.35,1025.45,1060.2,22877032,2425412346100000.0,381907,1767687,0.07730000000000001
2021-03-25,ADANIENT,EQ,1025.45,1032.95,1041.45,977.0,981.0,981.55,1000.27,13139164,1314277060645000.0,213722,1278976,0.09730000000000001
2021-03-26,ADANIENT,EQ,981.55,1000.0,1018.45,978.0,989.3,988.3,992.42,9396506,932524662615000.0,128071,1264463,0.13460000000000003
2021-03-30,ADANIENT,EQ,988.3,1004.0,1042.45,988.0,1039.9,1031.55,1021.02,10470731,1069083870170000.1,144844,2387929,0.2281
2021-03-31,ADANIENT,EQ,1031.55,1038.0,1053.15,1016.6,1031.0,1031.15,1033.79,6440569,665817070165000.0,101244,546179,0.0848
2021-04-01,ADANIENT,EQ,1031.15,1043.4,1116.05,1035.0,1104.65,1107.2,1082.05,12713083,1375620323375000.0,216541,1176816,0.0926
2021-04-05,ADANIENT,EQ,1107.2,1127.0,1150.0,1098.85,1141.0,1138.25,1127.43,15795720,1780856357515000.2,298644,1327960,0.08410000000000001
2021-04-06,ADANIENT,EQ,1138.25,1153.4,1241.0,1142.5,1222.6,1225.4,1203.66,21496457,2587442615045000.0,357142,1483231,0.069
2021-04-07,ADANIENT,EQ,1225.4,1233.4,1251.6,1108.0,1157.9,1165.55,1182.19,23007694,2719939614370000.0,456576,1829525,0.0795
2021-04-08,ADANIENT,EQ,1165.55,1162.5,1191.0,1137.75,1159.95,1162.5,1168.28,12404773,1449227468375000.0,255744,681685,0.055
2021-04-09,ADANIENT,EQ,1162.5,1163.4,1228.0,1151.2,1202.3,1201.4,1196.78,12923020,1546606215120000.0,264400,793440,0.061399999999999996
2021-04-12,ADANIENT,EQ,1201.4,1177.4,1177.4,1061.4,1068.0,1074.4,1104.57,13690016,1512153159465000.0,290601,1558726,0.1139
2021-04-13,ADANIENT,EQ,1074.4,1077.0,1116.3,1051.05,1102.0,1106.35,1091.81,12137329,1325164577075000.0,257690,601017,0.0495
2021-04-15,ADANIENT,EQ,1106.35,1095.0,1144.9,1081.35,1124.0,1129.95,1118.21,9350889,1045624967854999.9,187596,719972,0.077
2021-04-16,ADANIENT,EQ,1129.95,1130.0,1192.0,1112.0,1156.4,1159.0,1163.18,10661068,1240072951450000.0,196992,1265227,0.1187
2021-04-19,ADANIENT,EQ,1159.0,1100.0,1153.0,1089.0,1134.0,1136.35,1130.34,8565063,968141552004999.9,155220,1121492,0.1309
2021-04-20,ADANIENT,EQ,1136.35,1156.85,1177.7,1125.05,1137.0,1142.75,1154.98,8261172,954152306410000.0,143251,999726,0.121
2021-04-22,ADANIENT,EQ,1142.75,1134.0,1169.0,1123.0,1156.15,1157.8,1150.53,7124786,819724868735000.0,118109,1182069,0.1659
2021-04-23,ADANIENT,EQ,1157.8,1161.0,1182.9,1145.65,1150.55,1157.6,1167.29,6167151,719884180415000.0,108883,1072629,0.1739
2021-04-26,ADANIENT,EQ,1157.6,1160.0,1197.9,1160.0,1170.8,1173.35,1183.45,6939823,821292281425000.0,127378,1337136,0.1927
2021-04-27,ADANIENT,EQ,1173.35,1184.7,1213.5,1181.0,1191.8,1191.15,1197.51,7109421,851362258835000.0,118607,1460912,0.20550000000000002
2021-04-28,ADANIENT,EQ,1191.15,1207.95,1213.95,1180.75,1185.0,1185.2,1196.37,5020151,600596081160000.0,76062,1496439,0.2981
2021-04-29,ADANIENT,EQ,1185.2,1196.55,1212.65,1178.0,1185.75,1182.3,1195.22,4070698,486538804800000.0,73596,738707,0.1815
2021-04-30,ADANIENT,EQ,1182.3,1171.0,1200.95,1143.0,1146.0,1158.7,1178.39,4232500,498752661020000.0,66953,1508559,0.3564
2021-05-03,ADANIENT,EQ,1158.7,1145.1,1264.4,1122.65,1255.6,1255.55,1216.67,11276228,1371945599925000.0,236879,1183885,0.105
2021-05-04,ADANIENT,EQ,1255.55,1285.0,1298.95,1241.85,1267.0,1262.5,1275.28,10271516,1309906656860000.0,196235,851006,0.08289999999999999
2021-05-05,ADANIENT,EQ,1262.5,1274.4,1288.25,1240.25,1263.5,1267.5,1262.69,7805805,985632397495000.1,161556,542531,0.0695
2021-05-06,ADANIENT,EQ,1267.5,1272.35,1311.85,1263.0,1290.45,1286.75,1285.52,6240535,802233495815000.0,117092,892305,0.14300000000000002
2021-05-07,ADANIENT,EQ,1286.75,1305.0,1322.4,1290.45,1294.9,1298.9,1304.76,4584524,598170163650000.0,89547,499890,0.109
2021-05-10,ADANIENT,EQ,1298.9,1294.9,1314.0,1286.3,1305.0,1304.1,1300.14,3892338,506057965860000.06,68609,997665,0.2563
2021-05-11,ADANIENT,EQ,1304.1,1292.0,1326.0,1284.0,1300.0,1303.5,1306.1,4744734,619708994340000.0,88249,1143541,0.24100000000000002
2021-05-12,ADANIENT,EQ,1303.5,1311.0,1328.5,1278.6,1286.35,1285.8,1305.08,4143731,540790409460000.06,77294,1021021,0.2464
2021-05-14,ADANIENT,EQ,1285.8,1300.0,1302.0,1213.35,1225.2,1220.35,1240.55,6377643,791176382690000.0,147308,1273801,0.1997
2021-05-17,ADANIENT,EQ,1220.35,1230.0,1299.0,1227.45,1291.0,1289.1,1277.97,7782732,994612590229999.9,145729,1459232,0.1875
2021-05-18,ADANIENT,EQ,1289.1,1314.95,1344.95,1302.0,1344.45,1326.7,1313.87,6531595,858166471800000.0,102239,2129540,0.326
2021-05-19,ADANIENT,EQ,1326.7,1350.0,1351.55,1283.9,1291.6,1294.7,1311.78,9925284,1301979922675000.0,124978,3123752,0.3147
2021-05-20,ADANIENT,EQ,1294.7,1301.3,1320.0,1283.95,1303.0,1302.0,1303.86,5837747,761162961930000.0,73646,2042778,0.34990000000000004
